年,月,日,ビール消費支出
2006,1,1,33.87
2006,1,2,50.81
2006,1,3,41.84
2006,1,4,23.76
2006,1,5,22.04
2006,1,6,24.69
2006,1,7,30.56
2006,1,8,41.06
2006,1,9,27.19
2006,1,10,19.24
2006,1,11,28.72
2006,1,12,21.58
2006,1,13,18.79
2006,1,14,27.1
2006,1,15,33.49
2006,1,16,26.4
2006,1,17,15.42
2006,1,18,23.71
2006,1,19,21.9
2006,1,20,25.17
2006,1,21,38.67
2006,1,22,36.58
2006,1,23,28.54
2006,1,24,22.8
2006,1,25,42.45
2006,1,26,33.97
2006,1,27,26.71
2006,1,28,52.9
2006,1,29,46.57
2006,1,30,29.7
2006,1,31,22.57
2006,2,1,26.53
2006,2,2,19.64
2006,2,3,26.37
2006,2,4,26.45
2006,2,5,43.27
2006,2,6,25.71
2006,2,7,23.62
2006,2,8,28.09
2006,2,9,20.52
2006,2,10,26.42
2006,2,11,39.39
2006,2,12,40.63
2006,2,13,16.41
2006,2,14,15.68
2006,2,15,29.64
2006,2,16,33.52
2006,2,17,28.71
2006,2,18,40.08
2006,2,19,45.36
2006,2,20,21.24
2006,2,21,43.05
2006,2,22,18.24
2006,2,23,34.74
2006,2,24,34.53
2006,2,25,56.31
2006,2,26,48.04
2006,2,27,30.45
2006,2,28,37.24
2006,3,1,28.69
2006,3,2,30.92
2006,3,3,32.27
2006,3,4,32.51
2006,3,5,48.07
2006,3,6,17.43
2006,3,7,35.62
2006,3,8,23.83
2006,3,9,21.77
2006,3,10,32.04
2006,3,11,62.95
2006,3,12,38.93
2006,3,13,23.9
2006,3,14,17.24
2006,3,15,29.63
2006,3,16,20.12
2006,3,17,30.37
2006,3,18,53.53
2006,3,19,46.61
2006,3,20,32.46
2006,3,21,43.56
2006,3,22,41.99
2006,3,23,36.04
2006,3,24,23.99
2006,3,25,76.06
2006,3,26,58.21
2006,3,27,43.62
2006,3,28,30.51
2006,3,29,29.48
2006,3,30,15.55
2006,3,31,38.02
2006,4,1,51.12
2006,4,2,45.07
2006,4,3,33.41
2006,4,4,28.04
2006,4,5,22.82
2006,4,6,30.69
2006,4,7,33.22
2006,4,8,50.83
2006,4,9,49.5
2006,4,10,36.85
2006,4,11,24.3
2006,4,12,32.21
2006,4,13,28.04
2006,4,14,43.82
2006,4,15,46.51
2006,4,16,52.67
2006,4,17,27.17
2006,4,18,28.02
2006,4,19,38.61
2006,4,20,33.35
2006,4,21,42.6
2006,4,22,67.87
2006,4,23,56.87
2006,4,24,22.92
2006,4,25,30.33
2006,4,26,37.83
2006,4,27,39.55
2006,4,28,53.08
2006,4,29,81.21
2006,4,30,88.5
2006,5,1,52.49
2006,5,2,50.55
2006,5,3,71.53
2006,5,4,51.43
2006,5,5,62.75
2006,5,6,49.67
2006,5,7,54.96
2006,5,8,38.19
2006,5,9,28.82
2006,5,10,30.22
2006,5,11,31.36
2006,5,12,38.44
2006,5,13,34.87
2006,5,14,48.62
2006,5,15,25.83
2006,5,16,36.63
2006,5,17,23.77
2006,5,18,23.44
2006,5,19,37.46
2006,5,20,55.09
2006,5,21,65.6
2006,5,22,41.49
2006,5,23,42.71
2006,5,24,33.49
2006,5,25,34.33
2006,5,26,49.23
2006,5,27,63.34
2006,5,28,54.36
2006,5,29,40.82
2006,5,30,25.78
2006,5,31,38.44
2006,6,1,33.86
2006,6,2,37.37
2006,6,3,67.14
2006,6,4,46.14
2006,6,5,39.5
2006,6,6,30.08
2006,6,7,26.02
2006,6,8,37.12
2006,6,9,46.52
2006,6,10,51.82
2006,6,11,62.71
2006,6,12,30.77
2006,6,13,35.62
2006,6,14,47.11
2006,6,15,38.65
2006,6,16,46.47
2006,6,17,65.92
2006,6,18,73.93
2006,6,19,42.82
2006,6,20,42.66
2006,6,21,38.71
2006,6,22,29.09
2006,6,23,41.97
2006,6,24,84.88
2006,6,25,57.93
2006,6,26,33.36
2006,6,27,52.08
2006,6,28,49.68
2006,6,29,51.6
2006,6,30,67.43
2006,7,1,83.35
2006,7,2,91.1
2006,7,3,44.34
2006,7,4,53.82
2006,7,5,57.71
2006,7,6,51.49
2006,7,7,67.7
2006,7,8,64.15
2006,7,9,90.71
2006,7,10,41.5
2006,7,11,65.4
2006,7,12,47.71
2006,7,13,62.89
2006,7,14,80.97
2006,7,15,99.84
2006,7,16,126.58
2006,7,17,63.57
2006,7,18,44.9
2006,7,19,37.0
2006,7,20,47.24
2006,7,21,49.06
2006,7,22,55.98
2006,7,23,69.84
2006,7,24,42.1
2006,7,25,62.37
2006,7,26,57.76
2006,7,27,56.76
2006,7,28,43.4
2006,7,29,96.59
2006,7,30,93.88
2006,7,31,78.33
2006,8,1,61.0
2006,8,2,51.77
2006,8,3,55.08
2006,8,4,63.75
2006,8,5,102.85
2006,8,6,98.38
2006,8,7,62.02
2006,8,8,52.93
2006,8,9,56.34
2006,8,10,100.55
2006,8,11,87.89
2006,8,12,161.4
2006,8,13,148.32
2006,8,14,104.35
2006,8,15,76.5
2006,8,16,58.09
2006,8,17,35.77
2006,8,18,46.24
2006,8,19,57.47
2006,8,20,57.03
2006,8,21,34.49
2006,8,22,44.54
2006,8,23,35.01
2006,8,24,34.42
2006,8,25,45.01
2006,8,26,68.09
2006,8,27,53.26
2006,8,28,47.38
2006,8,29,45.18
2006,8,30,29.15
2006,8,31,28.71
2006,9,1,40.85
2006,9,2,57.54
2006,9,3,48.85
2006,9,4,32.62
2006,9,5,23.15
2006,9,6,31.62
2006,9,7,36.98
2006,9,8,38.77
2006,9,9,58.74
2006,9,10,55.94
2006,9,11,22.29
2006,9,12,26.03
2006,9,13,25.21
2006,9,14,25.66
2006,9,15,33.53
2006,9,16,62.31
2006,9,17,48.96
2006,9,18,48.46
2006,9,19,22.24
2006,9,20,28.3
2006,9,21,31.72
2006,9,22,45.55
2006,9,23,46.72
2006,9,24,46.61
2006,9,25,28.86
2006,9,26,31.06
2006,9,27,34.17
2006,9,28,26.64
2006,9,29,35.81
2006,9,30,53.82
2006,10,1,55.79
2006,10,2,35.3
2006,10,3,23.73
2006,10,4,36.5
2006,10,5,29.9
2006,10,6,32.96
2006,10,7,46.78
2006,10,8,50.46
2006,10,9,46.32
2006,10,10,33.44
2006,10,11,26.42
2006,10,12,33.55
2006,10,13,36.58
2006,10,14,55.37
2006,10,15,46.21
2006,10,16,50.93
2006,10,17,33.45
2006,10,18,33.66
2006,10,19,31.66
2006,10,20,33.85
2006,10,21,47.23
2006,10,22,43.64
2006,10,23,32.12
2006,10,24,27.07
2006,10,25,35.74
2006,10,26,29.76
2006,10,27,56.78
2006,10,28,45.93
2006,10,29,58.25
2006,10,30,26.38
2006,10,31,35.25
2006,11,1,43.11
2006,11,2,42.55
2006,11,3,62.08
2006,11,4,48.1
2006,11,5,57.4
2006,11,6,24.23
2006,11,7,26.81
2006,11,8,24.58
2006,11,9,25.09
2006,11,10,26.92
2006,11,11,30.9
2006,11,12,36.25
2006,11,13,21.79
2006,11,14,25.76
2006,11,15,23.79
2006,11,16,34.85
2006,11,17,36.75
2006,11,18,45.76
2006,11,19,44.98
2006,11,20,26.22
2006,11,21,24.73
2006,11,22,43.48
2006,11,23,63.06
2006,11,24,37.44
2006,11,25,49.26
2006,11,26,44.37
2006,11,27,42.61
2006,11,28,30.24
2006,11,29,31.7
2006,11,30,33.61
2006,12,1,46.07
2006,12,2,56.46
2006,12,3,65.99
2006,12,4,37.87
2006,12,5,57.96
2006,12,6,34.24
2006,12,7,34.49
2006,12,8,51.84
2006,12,9,69.28
2006,12,10,81.34
2006,12,11,30.46
2006,12,12,35.51
2006,12,13,32.12
2006,12,14,44.93
2006,12,15,44.24
2006,12,16,55.66
2006,12,17,65.97
2006,12,18,40.21
2006,12,19,45.71
2006,12,20,43.39
2006,12,21,45.49
2006,12,22,51.73
2006,12,23,71.66
2006,12,24,74.2
2006,12,25,54.57
2006,12,26,63.71
2006,12,27,47.27
2006,12,28,99.1
2006,12,29,112.43
2006,12,30,166.9
2006,12,31,152.4
2007,1,1,32.63
2007,1,2,61.29
2007,1,3,39.82
2007,1,4,27.62
2007,1,5,27.12
2007,1,6,35.08
2007,1,7,31.82
2007,1,8,27.48
2007,1,9,19.09
2007,1,10,21.06
2007,1,11,28.5
2007,1,12,21.59
2007,1,13,42.43
2007,1,14,36.61
2007,1,15,22.83
2007,1,16,28.09
2007,1,17,18.45
2007,1,18,22.94
2007,1,19,17.44
2007,1,20,56.73
2007,1,21,44.48
2007,1,22,17.66
2007,1,23,17.59
2007,1,24,15.21
2007,1,25,29.63
2007,1,26,29.25
2007,1,27,54.57
2007,1,28,48.2
2007,1,29,30.65
2007,1,30,23.02
2007,1,31,17.75
2007,2,1,29.66
2007,2,2,26.88
2007,2,3,62.93
2007,2,4,34.79
2007,2,5,26.03
2007,2,6,27.17
2007,2,7,21.22
2007,2,8,27.37
2007,2,9,23.86
2007,2,10,43.49
2007,2,11,46.27
2007,2,12,30.03
2007,2,13,17.04
2007,2,14,20.72
2007,2,15,20.23
2007,2,16,28.58
2007,2,17,40.82
2007,2,18,36.36
2007,2,19,23.58
2007,2,20,27.41
2007,2,21,28.42
